row,part,note_index,measure,page,engraving_pitch,page_pitch_read,verdict,reviewer,notes
1,Lead,0,3,page-196.jpg,A#3,,,,
2,Lead,1,3,page-196.jpg,A3,,,,
3,Lead,2,3,page-196.jpg,A#3,,,,
4,Lead,3,4,page-196.jpg,D#4,,,,
5,Lead,4,4,page-196.jpg,C#4,,,,
6,Lead,5,4,page-196.jpg,C4,,,,
7,Lead,6,4,page-196.jpg,C#4,,,,
8,Lead,7,5,page-196.jpg,B3,,,,
9,Lead,8,6,page-196.jpg,B3,,,,
10,Lead,9,6,page-196.jpg,A#3,,,,
11,Lead,10,6,page-196.jpg,B3,,,,
12,Lead,11,6,page-196.jpg,C#3,,,,
13,Lead,12,7,page-196.jpg,C4,,,,
14,Lead,13,7,page-196.jpg,B3,,,,
15,Lead,14,7,page-196.jpg,C4,,,,
16,Lead,15,7,page-196.jpg,C4,,,,
17,Lead,16,7,page-196.jpg,C4,,,,
18,Lead,17,7,page-196.jpg,C4,,,,
19,Lead,18,7,page-196.jpg,B3,,,,
20,Lead,19,7,page-196.jpg,C4,,,,
21,Lead,20,8,page-196.jpg,D#4,,,,
22,Lead,21,8,page-196.jpg,C#4,,,,
23,Lead,22,8,page-196.jpg,C4,,,,
24,Lead,23,8,page-196.jpg,C#4,,,,
25,Lead,24,9,page-196.jpg,B3,,,,
26,Lead,25,10,page-197.jpg,D#4,,,,
27,Lead,26,10,page-197.jpg,B3,,,,
28,Lead,27,11,page-197.jpg,F#3,,,,
29,Lead,28,11,page-197.jpg,D#4,,,,
30,Lead,29,11,page-197.jpg,D4,,,,
31,Lead,30,12,page-197.jpg,C#4,,,,
32,Lead,31,12,page-197.jpg,A#3,,,,
33,Lead,32,12,page-197.jpg,C#4,,,,
34,Lead,33,12,page-197.jpg,A#3,,,,
35,Lead,34,12,page-197.jpg,C#4,,,,
36,Lead,35,13,page-197.jpg,B3,,,,
37,Lead,36,14,page-197.jpg,A#3,,,,
38,Lead,37,14,page-197.jpg,F#3,,,,
39,Lead,38,15,page-197.jpg,C4,,,,
40,Lead,39,15,page-197.jpg,G#3,,,,
41,Lead,40,15,page-197.jpg,F#3,,,,
42,Lead,41,16,page-197.jpg,F3,,,,
43,Lead,42,16,page-197.jpg,F#3,,,,
44,Lead,43,16,page-197.jpg,G#3,,,,
45,Lead,44,16,page-197.jpg,A#3,,,,
46,Lead,45,17,page-197.jpg,C#4,,,,
47,Lead,46,17,page-197.jpg,C4,,,,
48,Lead,47,17,page-197.jpg,C#4,,,,
49,Lead,48,17,page-197.jpg,B3,,,,
50,Lead,49,17,page-197.jpg,C#3,,,,
51,Lead,50,18,page-197.jpg,A#3,,,,
52,Lead,51,18,page-197.jpg,A3,,,,
53,Lead,52,18,page-197.jpg,A#3,,,,
54,Lead,53,18,page-197.jpg,C#3,,,,
55,Lead,54,19,page-197.jpg,A#3,,,,
56,Lead,55,19,page-197.jpg,A3,,,,
57,Lead,56,19,page-197.jpg,A#3,,,,
58,Lead,57,19,page-197.jpg,C#3,,,,
59,Lead,58,19,page-197.jpg,C#3,,,,
60,Lead,59,19,page-197.jpg,A#3,,,,
61,Lead,60,19,page-197.jpg,A3,,,,
62,Lead,61,19,page-197.jpg,A#3,,,,
63,Lead,62,20,page-197.jpg,D#4,,,,
64,Lead,63,20,page-197.jpg,C#4,,,,
65,Lead,64,20,page-197.jpg,C4,,,,
66,Lead,65,20,page-197.jpg,C#4,,,,
67,Lead,66,21,page-197.jpg,B3,,,,
68,Lead,67,22,page-198.jpg,B3,,,,
69,Lead,68,22,page-198.jpg,A#3,,,,
70,Lead,69,22,page-198.jpg,B3,,,,
71,Lead,70,22,page-198.jpg,C#3,,,,
72,Lead,71,23,page-198.jpg,C4,,,,
73,Lead,72,23,page-198.jpg,B3,,,,
74,Lead,73,23,page-198.jpg,C4,,,,
75,Lead,74,23,page-198.jpg,C4,,,,
76,Lead,75,23,page-198.jpg,C4,,,,
77,Lead,76,23,page-198.jpg,C4,,,,
78,Lead,77,23,page-198.jpg,B3,,,,
79,Lead,78,23,page-198.jpg,C4,,,,
80,Lead,79,24,page-198.jpg,D#4,,,,
81,Lead,80,24,page-198.jpg,C#4,,,,
82,Lead,81,24,page-198.jpg,C4,,,,
83,Lead,82,24,page-198.jpg,C#4,,,,
84,Lead,83,24,page-198.jpg,E4,,,,
85,Lead,84,25,page-198.jpg,E4,,,,
86,Lead,85,25,page-198.jpg,D#4,,,,
87,Lead,86,26,page-198.jpg,D#4,,,,
88,Lead,87,26,page-198.jpg,D#4,,,,
89,Lead,88,26,page-198.jpg,D4,,,,
90,Lead,89,26,page-198.jpg,D#4,,,,
91,Lead,90,27,page-198.jpg,F#3,,,,
92,Lead,91,27,page-198.jpg,G#3,,,,
93,Lead,92,28,page-198.jpg,A#3,,,,
94,Lead,93,28,page-198.jpg,C#4,,,,
95,Lead,94,28,page-198.jpg,A#3,,,,
96,Lead,95,28,page-198.jpg,C#4,,,,
97,Lead,96,29,page-198.jpg,D#4,,,,
98,Lead,97,30,page-198.jpg,D#4,,,,
99,Lead,98,30,page-198.jpg,D4,,,,
100,Lead,99,30,page-198.jpg,D#4,,,,
101,Lead,100,30,page-198.jpg,F#3,,,,
102,Lead,101,31,page-198.jpg,F3,,,,
103,Lead,102,31,page-198.jpg,F#3,,,,
104,Lead,103,31,page-198.jpg,G#3,,,,
105,Lead,104,32,page-198.jpg,F#3,,,,
106,Lead,105,32,page-198.jpg,A#3,,,,
107,Lead,106,32,page-198.jpg,A3,,,,
108,Lead,107,32,page-198.jpg,A#3,,,,
109,Lead,108,32,page-198.jpg,F#3,,,,
110,Lead,109,33,page-198.jpg,A#3,,,,
111,Lead,110,33,page-198.jpg,A3,,,,
112,Lead,111,33,page-198.jpg,A#3,,,,
113,Lead,112,33,page-198.jpg,F#3,,,,
114,Lead,113,33,page-198.jpg,A#3,,,,
115,Lead,114,33,page-198.jpg,A3,,,,
116,Lead,115,34,page-198.jpg,A#3,,,,
117,Lead,116,34,page-198.jpg,B3,,,,
118,Lead,117,35,page-199.jpg,B3,,,,
119,Baritone,0,4,page-196.jpg,B3,,,,
120,Baritone,1,4,page-196.jpg,A#3,,,,
121,Baritone,2,4,page-196.jpg,A3,,,,
122,Baritone,3,4,page-196.jpg,A#3,,,,
123,Baritone,4,5,page-196.jpg,F3,,,,
124,Baritone,5,6,page-196.jpg,G#3,,,,
125,Baritone,6,6,page-196.jpg,G#3,,,,
126,Baritone,7,6,page-196.jpg,C#4,,,,
127,Baritone,8,6,page-196.jpg,B3,,,,
128,Baritone,9,7,page-196.jpg,D#4,,,,
129,Baritone,10,7,page-196.jpg,D4,,,,
130,Baritone,11,7,page-196.jpg,D#4,,,,
131,Baritone,12,7,page-196.jpg,D#4,,,,
132,Baritone,13,7,page-196.jpg,D#4,,,,
133,Baritone,14,7,page-196.jpg,A3,,,,
134,Baritone,15,7,page-196.jpg,G#3,,,,
135,Baritone,16,7,page-196.jpg,A3,,,,
136,Baritone,17,8,page-196.jpg,A#3,,,,
137,Baritone,18,8,page-196.jpg,A#3,,,,
138,Baritone,19,8,page-196.jpg,A3,,,,
139,Baritone,20,8,page-196.jpg,A#3,,,,
140,Baritone,21,9,page-196.jpg,F3,,,,
141,Baritone,22,10,page-197.jpg,B3,,,,
142,Baritone,23,10,page-197.jpg,F#3,,,,
143,Baritone,24,11,page-197.jpg,B3,,,,
144,Baritone,25,11,page-197.jpg,B3,,,,
145,Baritone,26,11,page-197.jpg,B3,,,,
146,Baritone,27,12,page-197.jpg,A#3,,,,
147,Baritone,28,12,page-197.jpg,C#4,,,,
148,Baritone,29,12,page-197.jpg,A#3,,,,
149,Baritone,30,12,page-197.jpg,C#4,,,,
150,Baritone,31,12,page-197.jpg,A#3,,,,
151,Baritone,32,13,page-197.jpg,B3,,,,
152,Baritone,33,14,page-197.jpg,C4,,,,
153,Baritone,34,14,page-197.jpg,C4,,,,
154,Baritone,35,15,page-197.jpg,G#3,,,,
155,Baritone,36,15,page-197.jpg,C4,,,,
156,Baritone,37,15,page-197.jpg,C4,,,,
157,Baritone,38,16,page-197.jpg,B3,,,,
158,Baritone,39,16,page-197.jpg,C4,,,,
159,Baritone,40,16,page-197.jpg,B3,,,,
160,Baritone,41,16,page-197.jpg,G3,,,,
161,Baritone,42,17,page-197.jpg,G#3,,,,
162,Baritone,43,17,page-197.jpg,A3,,,,
163,Baritone,44,17,page-197.jpg,A#3,,,,
164,Baritone,45,17,page-197.jpg,C#4,,,,
165,Baritone,46,17,page-197.jpg,B3,,,,
166,Baritone,47,18,page-197.jpg,C#4,,,,
167,Baritone,48,18,page-197.jpg,C#4,,,,
168,Baritone,49,18,page-197.jpg,C#4,,,,
169,Baritone,50,18,page-197.jpg,C#4,,,,
170,Baritone,51,19,page-197.jpg,C#4,,,,
171,Baritone,52,19,page-197.jpg,C4,,,,
172,Baritone,53,19,page-197.jpg,C#4,,,,
173,Baritone,54,19,page-197.jpg,C#4,,,,
174,Baritone,55,19,page-197.jpg,C#4,,,,
175,Baritone,56,19,page-197.jpg,C#4,,,,
176,Baritone,57,19,page-197.jpg,C4,,,,
177,Baritone,58,19,page-197.jpg,C#4,,,,
178,Baritone,59,20,page-197.jpg,B3,,,,
179,Baritone,60,20,page-197.jpg,B3,,,,
180,Baritone,61,20,page-197.jpg,A3,,,,
181,Baritone,62,20,page-197.jpg,A#3,,,,
182,Baritone,63,21,page-197.jpg,B3,,,,
183,Baritone,64,22,page-198.jpg,G#3,,,,
184,Baritone,65,22,page-198.jpg,G#3,,,,
185,Baritone,66,22,page-198.jpg,C#4,,,,
186,Baritone,67,22,page-198.jpg,B3,,,,
187,Baritone,68,23,page-198.jpg,D#4,,,,
188,Baritone,69,23,page-198.jpg,D4,,,,
189,Baritone,70,23,page-198.jpg,D#4,,,,
190,Baritone,71,23,page-198.jpg,D#4,,,,
191,Baritone,72,23,page-198.jpg,D#4,,,,
192,Baritone,73,23,page-198.jpg,A3,,,,
193,Baritone,74,23,page-198.jpg,G#3,,,,
194,Baritone,75,23,page-198.jpg,A3,,,,
195,Baritone,76,24,page-198.jpg,A#3,,,,
196,Baritone,77,24,page-198.jpg,A#3,,,,
197,Baritone,78,24,page-198.jpg,A3,,,,
198,Baritone,79,24,page-198.jpg,A#3,,,,
199,Baritone,80,24,page-198.jpg,A#3,,,,
200,Baritone,81,25,page-198.jpg,C#4,,,,
201,Baritone,82,25,page-198.jpg,A#3,,,,
202,Baritone,83,26,page-198.jpg,B3,,,,
203,Baritone,84,26,page-198.jpg,B3,,,,
204,Baritone,85,26,page-198.jpg,A#3,,,,
205,Baritone,86,26,page-198.jpg,B3,,,,
206,Baritone,87,27,page-198.jpg,B3,,,,
207,Baritone,88,27,page-198.jpg,B3,,,,
208,Baritone,89,28,page-198.jpg,A#3,,,,
209,Baritone,90,28,page-198.jpg,A#3,,,,
210,Baritone,91,28,page-198.jpg,C#4,,,,
211,Baritone,92,28,page-198.jpg,A#3,,,,
212,Baritone,93,29,page-198.jpg,D#3,,,,
213,Baritone,94,30,page-198.jpg,B3,,,,
214,Baritone,95,30,page-198.jpg,B3,,,,
215,Baritone,96,30,page-198.jpg,B3,,,,
216,Baritone,97,30,page-198.jpg,D#4,,,,
217,Baritone,98,31,page-198.jpg,B3,,,,
218,Baritone,99,31,page-198.jpg,C4,,,,
219,Baritone,100,31,page-198.jpg,B3,,,,
220,Baritone,101,32,page-198.jpg,A#3,,,,
221,Baritone,102,32,page-198.jpg,F#3,,,,
222,Baritone,103,32,page-198.jpg,F3,,,,
223,Baritone,104,32,page-198.jpg,F#3,,,,
224,Baritone,105,32,page-198.jpg,C#3,,,,
225,Baritone,106,33,page-198.jpg,F#3,,,,
226,Baritone,107,33,page-198.jpg,F3,,,,
227,Baritone,108,33,page-198.jpg,F#3,,,,
228,Baritone,109,33,page-198.jpg,C#3,,,,
229,Baritone,110,33,page-198.jpg,F#3,,,,
230,Baritone,111,33,page-198.jpg,F#3,,,,
231,Baritone,112,34,page-198.jpg,F#3,,,,
232,Baritone,113,34,page-198.jpg,G3,,,,
